date,CVRoot,device_type,productid,product_name,app_category,country,state,city,IPregion,Market,language,user_age_group,install_hresult,purchase_hresult,install_success,payment_amount,session_duration,AppVersion,OSversion,hour,location_granularity,time_granularity,is_sensitive_app,has_payment,sensitive_count,risk_label,risk_score,group_size,uniqueness_score,rarity_score
01-04-2026,BsQ8L4Fn7Eg1qv0jvc7MK1,mobile,PRO_036,productivity_app_036,productivity,IN,RJ,MASKED,IN,IN,EN,18-25,0x4aa71ef,0x39b58f,TRUE,50+,919,23202.1401.5.0,10.0.29920,0,1,1,0,1,1,1,0.34604110755045697,165270,6.050704907121679e-06,0.16527
01-04-2026,khq90Ui94DNBdSMbO7jeJx,mobile,FIN_018,finance_app_018,finance,US,FL,MASKED,US,US,OTHER,26-35,0x4fa560f,0x4e6f470,TRUE,0,4436,20034.1401.5.0,10.0.20669,0,1,1,1,0,1,0,0.42978510933920233,74715,1.3384193267750786e-05,0.074715
01-04-2026,DdrjechL6pFdhsH2lIbxOz,desktop,GAM_019,game_app_019,game,IN,RJ,MASKED,IN,IN,EN,36-50,0x1923843,0x4a9f64d,TRUE,0,1961,27890.1401.5.0,10.0.23949,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,gAe4B9u7uV52XxXM3JKx2M,mobile,GAM_067,game_app_067,game,UK,SCT,MASKED,UK,UK,OTHER,26-35,0x8e024b,0x57fbcc0,TRUE,0,316,24473.1401.5.0,10.0.26341,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,bhLUoUvsFyqzCt5tCiYLIs,desktop,SOC_039,social_app_039,social,US,NY,MASKED,US,US,OTHER,18-25,0x12694aa,0xcc11da,TRUE,0,3164,24365.1401.5.0,10.0.21294,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,ucVWIBf3ONdvGMfTvhhLfx,mobile,HEA_008,health_app_008,health,IN,TN,MASKED,IN,IN,EN,36-50,0x3966a0,0x4f933c0,FALSE,50+,3777,20404.1401.5.0,10.0.27607,0,1,1,1,1,2,0,0.34086092808441015,171106,5.844330415064346e-06,0.171106
01-04-2026,Nci1L3T7fG9J5FA9vvJIOC,mobile,SOC_012,social_app_012,social,UK,WLS,MASKED,UK,UK,EN,18-25,0x3500e5a,0x4bf9611,TRUE,0,2195,28710.1401.5.0,10.0.26521,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,DeHwikPWQODsAk8iF980XO,mobile,SOC_019,social_app_019,social,IN,WB,MASKED,IN,IN,EN,36-50,0x3012cf1,0x41e3d60,TRUE,50+,2060,29805.1401.5.0,10.0.22944,0,1,1,0,1,1,0,0.2979802427237651,221700,4.510599909788002e-06,0.2217
01-04-2026,xur83KWO6jpvsV1mVoxTmZ,mobile,GAM_046,game_app_046,game,UK,NIR,MASKED,UK,UK,EN,26-35,0x363a1e5,0x1c51899,FALSE,50+,2989,27564.1401.5.0,10.0.24959,0,1,1,0,1,1,0,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,16xqOVAfMrfD2yBpsqjGmJ,mobile,PRO_032,productivity_app_032,productivity,IN,KA,MASKED,IN,IN,OTHER,36-50,0x1f06319,0x31a9a9e,TRUE,0,4314,22185.1401.5.0,10.0.27341,0,1,1,0,0,0,0,0.3460805654661969,165270,6.050704907121679e-06,0.16527
01-04-2026,0c1WkjBsqK8W31VcuEFI6u,desktop,SOC_019,social_app_019,social,CA,AB,MASKED,CA,CA,EN,36-50,0xe3cdd5,0x54fd62b,TRUE,0,4282,27960.1401.5.0,10.0.29969,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,bXEnFRlypRK0NKiJhZmlL2,mobile,GAM_067,game_app_067,game,DE,HH,MASKED,DE,DE,EN,36-50,0x2c08cc9,0x3d36061,TRUE,0,4460,21869.1401.5.0,10.0.22413,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,YvGP0Hj34iW3Bf9yeRxb1K,mobile,GAM_067,game_app_067,game,US,WA,MASKED,US,US,EN,18-25,0x26f91fa,0x2a572e3,FALSE,50+,3286,27354.1401.5.0,10.0.27047,0,1,1,0,1,1,1,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,oOVRnTMwkv3wRJ3p87Y5xq,desktop,PRO_017,productivity_app_017,productivity,DE,HH,MASKED,DE,DE,OTHER,18-25,0x24ecf8d,0x18002a7,TRUE,0,2256,20351.1401.5.0,10.0.24667,0,1,1,0,0,0,0,0.3460805654661969,165270,6.050704907121679e-06,0.16527
01-04-2026,GVsn2lQ9qJoBoOWAXeHK4U,desktop,GAM_010,game_app_010,game,US,WA,MASKED,US,US,OTHER,26-35,0x5818247,0x6db119,TRUE,0,4869,26016.1401.5.0,10.0.23597,0,1,1,0,0,0,1,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,S6SmRZuLsuy9OAEF8zjKVj,mobile,GAM_078,game_app_078,game,US,WA,MASKED,US,US,EN,36-50,0x202242a,0x18834fc,TRUE,0,943,23834.1401.5.0,10.0.22954,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,Yly1i3vd50MUkIBuq0eVBM,mobile,GAM_067,game_app_067,game,UK,ENG,MASKED,UK,UK,EN,26-35,0x30cac96,0x12deef0,FALSE,50+,3152,24728.1401.5.0,10.0.29864,0,1,1,0,1,1,0,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,sQJ3iTnqDJDsX1tb0jt0lT,mobile,GAM_079,game_app_079,game,IN,GJ,MASKED,IN,IN,EN,26-35,0x4a7e353,0x3f0f53a,FALSE,0,3778,28366.1401.5.0,10.0.28831,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,YxlSoTicD1zyWgW9P8VO9C,mobile,GAM_050,game_app_050,game,UK,SCT,MASKED,UK,UK,OTHER,18-25,0x330ca95,0x9286a9,TRUE,0,4382,22172.1401.5.0,10.0.24280,0,1,1,0,0,0,1,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,A4EAgiNGxsIOVixz9EbEx3,mobile,HEA_007,health_app_007,health,US,GA,MASKED,US,US,EN,26-35,0x461e0e8,0x5908e75,TRUE,0,3712,22570.1401.5.0,10.0.20706,0,1,1,1,0,1,0,0.3409001032344646,171106,5.844330415064346e-06,0.171106
01-04-2026,5ZQQPtiR3lN2Ud1KIMt4pO,mobile,SOC_028,social_app_028,social,IN,DL,MASKED,IN,IN,EN,50+,0x3bbc274,0x196e6a4,TRUE,0,3358,29299.1401.5.0,10.0.25800,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,oXSyCcnfdCYEmIk1L9CTfX,mobile,SOC_028,social_app_028,social,US,IL,MASKED,US,US,EN,18-25,0x10e3ab,0x971df7,TRUE,50+,2128,27956.1401.5.0,10.0.29872,0,1,1,0,1,1,0,0.2979802427237651,221700,4.510599909788002e-06,0.2217
01-04-2026,rNQ7eBuQzmaQOYba8NFEhn,tablet,HEA_000,health_app_000,health,UK,SCT,MASKED,UK,UK,EN,36-50,0x5546976,0x5d7bf11,FALSE,0,1153,20934.1401.5.0,10.0.23802,0,1,1,1,0,1,0,0.3409001032344646,171106,5.844330415064346e-06,0.171106
01-04-2026,P3D4YI2xfiGs9WBUe6SU4H,mobile,SOC_002,social_app_002,social,IN,MH,MASKED,IN,IN,OTHER,50+,0x578a29b,0x502b28f,FALSE,0,2758,22783.1401.5.0,10.0.22676,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,vqqrWrW9lMj7XqV4xpKK3m,desktop,GAM_040,game_app_040,game,UK,WLS,MASKED,UK,UK,OTHER,36-50,0x25cf1f4,0x3571075,TRUE,0,2716,25175.1401.5.0,10.0.27612,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,KBvj5Q3pGzTgEOfBmsa1fC,desktop,SOC_019,social_app_019,social,DE,BW,MASKED,DE,DE,EN,26-35,0x52c36b0,0x1b42f72,TRUE,0,809,22785.1401.5.0,10.0.20115,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,Cz0Gpoojqt4Mj5QfrCF2ZY,mobile,SOC_028,social_app_028,social,US,AZ,MASKED,US,US,OTHER,36-50,0x32e3875,0x48e8222,TRUE,0,3303,24798.1401.5.0,10.0.21071,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,Abw3OBWqoXEYb0BNBRANJN,desktop,FIN_018,finance_app_018,finance,US,NY,MASKED,US,US,EN,18-25,0x4d60c45,0x55e0c29,TRUE,0,4857,22430.1401.5.0,10.0.27838,0,1,1,1,0,1,0,0.42978510933920233,74715,1.3384193267750786e-05,0.074715
01-04-2026,oavK1YiZO9sWHe6MhHEQPS,mobile,PRO_026,productivity_app_026,productivity,CA,MB,MASKED,CA,CA,OTHER,18-25,0x51583e1,0x24dce6b,TRUE,50+,4153,20598.1401.5.0,10.0.24022,0,1,1,0,1,1,0,0.34604110755045697,165270,6.050704907121679e-06,0.16527
01-04-2026,ADzRE0nCsIEH73BN8hccny,tablet,GAM_051,game_app_051,game,US,FL,MASKED,US,US,EN,50+,0x242e34c,0x4eabcf7,FALSE,0,25,21980.1401.5.0,10.0.20831,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,SJ2ONSMiCprkaewnLs5SsW,desktop,GAM_067,game_app_067,game,US,GA,MASKED,US,US,OTHER,18-25,0x490634e,0x4364891,FALSE,0,2126,20391.1401.5.0,10.0.28133,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,C0bapxYX4wKIDT8FfsQidt,desktop,PRO_017,productivity_app_017,productivity,IN,GJ,MASKED,IN,IN,EN,18-25,0x4236337,0xdf9488,TRUE,0,2473,27941.1401.5.0,10.0.22218,0,1,1,0,0,0,1,0.3460805654661969,165270,6.050704907121679e-06,0.16527
01-04-2026,qyHjjdAAMRbpljLXJPjW7W,mobile,SOC_028,social_app_028,social,IN,RJ,MASKED,IN,IN,EN,18-25,0x5a9c1d3,0x5198cda,TRUE,0,956,25128.1401.5.0,10.0.26838,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,4fnaSizqdeB0ENSqYYlKd0,desktop,SOC_028,social_app_028,social,UK,WLS,MASKED,UK,UK,EN,18-25,0x1dd2cc0,0x1b57c1,TRUE,50+,1201,21077.1401.5.0,10.0.21995,0,1,1,0,1,1,0,0.2979802427237651,221700,4.510599909788002e-06,0.2217
01-04-2026,GmmGD4RHo1DFg05379RWCr,desktop,PRO_013,productivity_app_013,productivity,UK,NIR,MASKED,UK,UK,EN,36-50,0x1979115,0x129a9e5,TRUE,0,3182,25375.1401.5.0,10.0.22151,0,1,1,0,0,0,0,0.3460805654661969,165270,6.050704907121679e-06,0.16527
01-04-2026,c47n1ii9wL8YGnhrjO7V5k,mobile,EDU_011,education_app_011,education,DE,NI,MASKED,DE,DE,OTHER,26-35,0x71f740,0x1ffeb77,FALSE,0,3365,22874.1401.5.0,10.0.27531,0,1,1,0,0,0,0,0.4633267932116427,40005,2.4996875390576178e-05,0.040005
01-04-2026,Vcy5usVAtAEz1oGRdQiGUs,mobile,SOC_028,social_app_028,social,IN,DL,MASKED,IN,IN,OTHER,36-50,0x3a87ff,0x68b73d,TRUE,50+,3798,24536.1401.5.0,10.0.21748,0,1,1,0,1,1,1,0.2979802427237651,221700,4.510599909788002e-06,0.2217
01-04-2026,rT1r6E93Mao2fbJQ5EqTwo,desktop,GAM_067,game_app_067,game,US,WA,MASKED,US,US,EN,26-35,0x36b315b,0xcd243b,TRUE,0,3453,26573.1401.5.0,10.0.27250,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,UQXQpoyh1ijPcQmPJMwk5R,desktop,GAM_046,game_app_046,game,IN,WB,MASKED,IN,IN,EN,18-25,0x3af89cb,0x3de4bb9,TRUE,0,2373,21357.1401.5.0,10.0.22539,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,88sRP3rHkVJDqOq45yAQzs,mobile,GAM_057,game_app_057,game,US,GA,MASKED,US,US,OTHER,18-25,0x4bbed79,0x26a21c8,TRUE,0,1194,25734.1401.5.0,10.0.23400,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,8RbZEha6D91a0sUsC1H4EH,desktop,GAM_067,game_app_067,game,IN,GJ,MASKED,IN,IN,OTHER,18-25,0x4cb8359,0x343fde0,TRUE,0,1145,24581.1401.5.0,10.0.29032,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,mUTE2wT5bL0gQZ6i5brYjx,desktop,GAM_060,game_app_060,game,DE,BY,MASKED,DE,DE,OTHER,18-25,0x156ff14,0xb821ec,TRUE,0,3687,26678.1401.5.0,10.0.27808,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,B3gfDrQZ6t8T6BJgwIDy7Q,mobile,GAM_060,game_app_060,game,US,WA,MASKED,US,US,EN,36-50,0x130529e,0x4e59783,TRUE,50+,3916,27678.1401.5.0,10.0.20381,0,1,1,0,1,1,0,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,ABvRr5sKlpJPhw92QoZCLJ,mobile,GAM_067,game_app_067,game,IN,GJ,MASKED,IN,IN,OTHER,26-35,0x537515f,0x3d50578,TRUE,0,320,29225.1401.5.0,10.0.22463,0,1,1,0,0,0,1,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
01-04-2026,NP0Ax83ex47S2coC3fQwFR,mobile,GAM_060,game_app_060,game,UK,NIR,MASKED,UK,UK,EN,36-50,0x1a105eb,0x2e129a2,TRUE,50+,3148,24328.1401.5.0,10.0.25114,0,1,1,0,1,1,0,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,loS8WkuwL1ftrny82gSDIH,mobile,HEA_008,health_app_008,health,IN,TN,MASKED,IN,IN,EN,36-50,0x41926e8,0x378e33e,TRUE,0,412,24867.1401.5.0,10.0.25702,0,1,1,1,0,1,0,0.3409001032344646,171106,5.844330415064346e-06,0.171106
01-04-2026,L05SHnhE4PckBOnpxBCE0B,mobile,GAM_038,game_app_038,game,CA,NB,MASKED,CA,CA,EN,26-35,0x1cecf3e,0x3d3f490,TRUE,50+,2981,27552.1401.5.0,10.0.26092,0,1,1,0,1,1,0,0.21941262977111514,327204,3.0561973570005257e-06,0.327204
01-04-2026,Gq7abXROaeH7vRNNPnIwgB,mobile,SOC_019,social_app_019,social,US,TX,MASKED,US,US,OTHER,26-35,0x5bf3ea2,0x4826060,TRUE,0,3627,23577.1401.5.0,10.0.23297,0,1,1,0,0,0,0,0.2980167178196251,221700,4.510599909788002e-06,0.2217
01-04-2026,O6mfnjnYQRv5OZTIFgpGcg,desktop,PRO_019,productivity_app_019,productivity,CA,SK,MASKED,CA,CA,OTHER,36-50,0x2c679e4,0x5d3b235,TRUE,0,3044,29488.1401.5.0,10.0.26177,0,1,1,0,0,0,0,0.3460805654661969,165270,6.050704907121679e-06,0.16527
01-04-2026,gLxNajIS6t5HiZSY2pNJRt,mobile,EDU_007,education_app_007,education,US,IL,MASKED,US,US,EN,50+,0x44d01e,0x547d206,TRUE,0,275,28984.1401.5.0,10.0.26109,0,1,1,0,0,0,0,0.4633267932116427,40005,2.4996875390576178e-05,0.040005
01-04-2026,rQYMhl12BRxsqFQFrVwhfh,mobile,GAM_048,game_app_048,game,DE,BW,MASKED,DE,DE,OTHER,18-25,0x2a32846,0x2491a1a,TRUE,0,3437,28249.1401.5.0,10.0.29467,0,1,1,0,0,0,0,0.21944249382290226,327204,3.0561973570005257e-06,0.327204
