date,timestamp,CVRoot,device_id,device_type,productid,product_name,app_category,country,state,city,IPregion,Market,language,user_age_group,install_hresult,purchase_hresult,install_success,payment_amount,payment_method,session_duration,AppVersion,OSversion
01-04-2026,01-04-2026 10:49,BsQ8L4Fn7Eg1qv0jvc7MK1,g:011988713231521120,mobile,PRO_036,productivity_app_036,productivity,IN,RJ,CityC,IN,IN,EN,39,0x4aa71ef,0x39b58f,TRUE,183,card,919,23202.1401.5.0,10.0.29920
01-04-2026,01-04-2026 07:49,khq90Ui94DNBdSMbO7jeJx,g:021106085664117960,mobile,FIN_018,finance_app_018,finance,US,FL,CityD,US,US,OTHER,45,0x4fa560f,0x4e6f470,TRUE,878,card,4436,20034.1401.5.0,10.0.20669
01-04-2026,01-04-2026 16:03,DdrjechL6pFdhsH2lIbxOz,g:172068161050922324,desktop,GAM_019,game_app_019,game,IN,RJ,CityA,IN,IN,EN,56,0x1923843,0x4a9f64d,TRUE,245,card,1961,27890.1401.5.0,10.0.23949
01-04-2026,01-04-2026 05:24,gAe4B9u7uV52XxXM3JKx2M,g:886341294154664274,mobile,GAM_067,game_app_067,game,UK,SCT,CityA,UK,UK,OTHER,61,0x8e024b,0x57fbcc0,TRUE,286,none,316,24473.1401.5.0,10.0.26341
01-04-2026,01-04-2026 01:59,bhLUoUvsFyqzCt5tCiYLIs,g:687173536925952893,desktop,SOC_039,social_app_039,social,US,NY,CityB,US,US,OTHER,33,0x12694aa,0xcc11da,TRUE,946,none,3164,24365.1401.5.0,10.0.21294
01-04-2026,01-04-2026 06:00,ucVWIBf3ONdvGMfTvhhLfx,g:226064147544780008,mobile,HEA_008,health_app_008,health,IN,TN,CityE,IN,IN,EN,38,0x3966a0,0x4f933c0,FALSE,537,upi,3777,20404.1401.5.0,10.0.27607
01-04-2026,01-04-2026 16:43,Nci1L3T7fG9J5FA9vvJIOC,g:003518419226471822,mobile,SOC_012,social_app_012,social,UK,WLS,CityB,UK,UK,EN,51,0x3500e5a,0x4bf9611,TRUE,447,card,2195,28710.1401.5.0,10.0.26521
01-04-2026,01-04-2026 19:53,DeHwikPWQODsAk8iF980XO,g:114403592293434135,mobile,SOC_019,social_app_019,social,IN,WB,CityD,IN,IN,EN,52,0x3012cf1,0x41e3d60,TRUE,766,none,2060,29805.1401.5.0,10.0.22944
01-04-2026,01-04-2026 09:26,xur83KWO6jpvsV1mVoxTmZ,g:390174802183657265,mobile,GAM_046,game_app_046,game,UK,NIR,CityD,UK,UK,EN,39,0x363a1e5,0x1c51899,FALSE,1271,card,2989,27564.1401.5.0,10.0.24959
01-04-2026,01-04-2026 09:05,16xqOVAfMrfD2yBpsqjGmJ,g:567012847285277521,mobile,PRO_032,productivity_app_032,productivity,IN,KA,CityD,IN,IN,OTHER,59,0x1f06319,0x31a9a9e,TRUE,381,wallet,4314,22185.1401.5.0,10.0.27341
01-04-2026,01-04-2026 16:57,0c1WkjBsqK8W31VcuEFI6u,g:121822802889102081,desktop,SOC_019,social_app_019,social,CA,AB,CityD,CA,CA,EN,48,0xe3cdd5,0x54fd62b,TRUE,1076,card,4282,27960.1401.5.0,10.0.29969
01-04-2026,01-04-2026 14:07,bXEnFRlypRK0NKiJhZmlL2,g:326886723632872669,mobile,GAM_067,game_app_067,game,DE,HH,CityE,DE,DE,EN,61,0x2c08cc9,0x3d36061,TRUE,143,wallet,4460,21869.1401.5.0,10.0.22413
